NavigationService - класс
 
Содержит методы, свойства и события для поддержки переходов.

Пространство имен:  System.Windows.Navigation

Свойства

 CanGoBack	Возвращает значение, указывающее, является ли хотя бы одну запись в журнале переходов назад.
 CanGoForward	Возвращает значение, указывающее, является ли хотя бы одну запись на переднем журнале навигации.
 Content	Возвращает или задает ссылку на объект с текущим содержимым.
 CurrentSource	Возвращает URI (uniform resource identifier — универсальный код ресурса) содержимое, которое было последним перехода.
 Source	Возвращает или задает URI (uniform resource identifier — универсальный код ресурса) текущего содержимого или URI нового содержимого которому осуществляется переход.

Методы

 AddBackEntry	Добавляет запись в заднему журнал переходов, содержащий a CustomContentState объект.
 Equals(Object)	Определяет, равен ли заданный объект текущему объекту. (Унаследовано от Object.)
 GetHashCode	Играет роль хэш-функции для определённого типа. (Унаследовано от Object.)
 GetNavigationService	Получает ссылку на NavigationService для навигатора указанное содержимое которого содержит DependencyObject.
 GetType	Возвращает объект Type для текущего экземпляра. (Унаследовано от Object.)
 GoBack	Переход к последней записи в журнале переходов назад, если он имеется.
 GoForward	Перейдите к последней записи в журнале переходов переднем, если он имеется.
 Navigate(Object)	Выполняет асинхронный переход к содержимому, которое находится в объекте.
 Navigate(Uri)	Выполняет асинхронный переход к содержимому, которое определяется a URI (uniform resource identifier — универсальный код ресурса).
 Navigate(Object, Object)	Выполняет асинхронный переход к содержимому, которое находится в объекте, и передает объект с данными, предназначенными для использования в процессе перехода.
 Navigate(Uri, Object)	Выполняет асинхронный переход к содержимому источника, подключенном к a URI (uniform resource identifier — универсальный код ресурса)и передает объект с данными, предназначенными для использования в процессе перехода.
 Navigate(Uri, Object, Boolean)	Выполняет асинхронный переход к содержимому источника, подключенном к a URI (uniform resource identifier — универсальный код ресурса)передайте объект, содержащий состояние навигации в процессе перехода и песочницу " содержимое ".
 Refresh	Содержимое текущего перезагрузить.
 RemoveBackEntry	Удаляет последнюю запись журнала с заднего журнала.
 StopLoading	Останавливает более дальнеишая загрузке содержимого для текущего запроса навигации.
 ToString	Возвращает строку, представляющую текущий объект. (Унаследовано от Object.)

События

 FragmentNavigation	Происходит, когда переход к фрагменту содержимого начинается, который происходит немедленно, если нужный фрагмент в текущем содержимом или после источника Язык XAML содержимое загружено, если нужный фрагмент в другом содержимом.
 LoadCompleted	Происходит, когда загружена содержимое, которое было проанализировано переход, и начинается его отрисовка.
 Navigated	Происходит, когда содержимое, переход был найден и доступны из Content свойство, хотя оно не может выполнить загрузку.
 Navigating	Происходит, когда запрашивается новый переход.
 NavigationFailed	Происходит при возникновении ошибки в процессе навигация по к запрошенному содержимому.
 NavigationProgress	Периодически происходит во время загрузки для предоставления сведений о ходе выполнения переходов.
 NavigationStopped	Возникает, если StopLoading вызываемый метод или при запросе новой переход при текущей переход выполняется.
